"country_incorporated_1","n","prop"
"MEXICO",2,"0.0021%"
"MICHIGAN, U.S.A.",13,"0.0139%"
"MINNESOTA, U.S.A.",1,"0.0011%"
"MISSOURI, U.S.A.",1,"0.0011%"
"MONACO",77,"0.0824%"
"MONGOLIA",2,"0.0021%"
"MONTSERRAT",1,"0.0011%"
"MOROCCO",3,"0.0032%"
"NETHERLANDS",1219,"1.3044%"
"NEVADA, U.S.A.",14,"0.0150%"
"NEW BRUNSWICK, CANADA",4,"0.0043%"
"NEW JERSEY, U.S.A.",2,"0.0021%"
"NEW MEXICO, U.S.A.",4,"0.0043%"
"NEW YORK, U.S.A.",163,"0.1744%"
"NEW ZEALAND",135,"0.1445%"
"NIGERIA",157,"0.1680%"
"NIUE",18,"0.0193%"
"NORTH CAROLINA, U.S.A.",5,"0.0054%"
"NORTH CYPRUS",2,"0.0021%"
"NORTH KOREA",1,"0.0011%"
"NORWAY",38,"0.0407%"
"NOVA SCOTIA, CANADA",5,"0.0054%"
"NUIE",1,"0.0011%"
"OHIO, U.S.A.",4,"0.0043%"
"OKLAHOMA, U.S.A.",8,"0.0086%"
"OMAN",21,"0.0225%"
"ONTARIO, CANADA",7,"0.0075%"
"OREGON, U.S.A.",6,"0.0064%"
"PAKISTAN",6,"0.0064%"
"PANAMA",1240,"1.3268%"
"PART VII OF THE CHARITIES ACT 1993",1,"0.0011%"
"PENANG",1,"0.0011%"
"PENNSYLVANIA, U.S.A.",16,"0.0171%"
"POLAND",5,"0.0054%"
"PORTUGAL",41,"0.0439%"
"QATAR",97,"0.1038%"
"QUEBEC, CANADA",2,"0.0021%"
"RAS AL KHAIMAH",26,"0.0278%"
"RAS AL KHAIMAH FREE TRADE ZONE",13,"0.0139%"
"REPUBLIC OF KOREA",11,"0.0118%"
"ROVEREDO GR",1,"0.0011%"
"RUPUBLIC OF IRELAND",1,"0.0011%"
"RUSSIA",4,"0.0043%"
"SAMAO",1,"0.0011%"
"SAMOA",65,"0.0696%"
"SAUDI ARABIA",250,"0.2675%"
"SERBIA",3,"0.0032%"
"SEYCHELLES",1251,"1.3386%"
"SHARJAH",7,"0.0075%"
"SIERRA LEONE",1,"0.0011%"
"SINGAPORE",2061,"2.2053%"
"SLOVAKIA",6,"0.0064%"
"SOUTH AFRICA",46,"0.0492%"
"SOUTH DAKOTA, U.S.A.",19,"0.0203%"
"SOUTH KOREA",3,"0.0032%"
"SPAIN",118,"0.1263%"
"SRI LANKA",3,"0.0032%"
"ST KITTS AND NEVIS",195,"0.2087%"
"ST LUCIA",16,"0.0171%"
"ST VINCENT AND GRENADINES",66,"0.0706%"
"SWAZILAND",1,"0.0011%"
"SWEDEN",48,"0.0514%"
"SWITZERLAND",372,"0.3981%"
"TAIWAN",5,"0.0054%"
"TANZANIA",1,"0.0011%"
"TENERIFE",1,"0.0011%"
"TENNESSEE, U.S.A.",1,"0.0011%"
"TEXAS, U.S.A.",28,"0.0300%"
"THAILAND",21,"0.0225%"
"THE EUROPEAN UNION",1,"0.0011%"
"THE EUROPEAN UNION UNDER THE TREATY ON EUROPEAN UNION AND THE TREATY ON THE FUNCTIONING OF THE EUROPEAN UNION",1,"0.0011%"
"THE GAMBIA",1,"0.0011%"
"THE ISLAND OF NIUE",1,"0.0011%"
"THE REPUBLIC OF KOREA",1,"0.0011%"
"THE REPUBLIC OF LIBE RIA",1,"0.0011%"
"THE VIRGIN ISLANDS",2,"0.0021%"
"THE WEST INDIES",22,"0.0235%"
"TOGO",1,"0.0011%"
"TRINIDAD AND TOBAGO",4,"0.0043%"
"TURKEY",54,"0.0578%"
"TURKS AND CAICOS ISLANDS",189,"0.2022%"
"U.S.A.",387,"0.4141%"
"UGANDA",4,"0.0043%"
"UNITED ARAB EMIRATES",265,"0.2836%"
"UNITED REPUBLIC OF TANZANIA",1,"0.0011%"
"URUGUAY",3,"0.0032%"
"UTAH, U.S.A.",3,"0.0032%"
"VANUATU",5,"0.0054%"
"VERMONT, U.S.A.",1,"0.0011%"
"VIRGINIA, U.S.A.",6,"0.0064%"
"WASHINGTON, U.S.A.",10,"0.0107%"
"WESTERN SAMOA",2,"0.0021%"
"WISCONSIN, U.S.A.",4,"0.0043%"
"WYOMING, U.S.A.",17,"0.0182%"
"ZIMBABWE",3,"0.0032%"
NA,1,"0.0011%"
